keys,en
SETTINGS_MENU_OLD_MUSIC,Old Menu Music
SETTINGS_MENU_OPEN_USER_FOLDER,Open User Settings Folder
SETTINGS_MENU_SENS,Mouse Sensitivity
SETTINGS_MENU_SHADOWS,Shadows
SETTINGS_MENU_SHADOW_QUALITY,Shadow Quality
SETTINGS_MENU_SNAP_TURN,Snap Turn
SETTINGS_MENU_USERNAME,Username
SETTINGS_MENU_VOLUME,Volume
SETTINGS_MENU_VSYNC,V-Sync
SETTINGS_USER_READ_ERROR,There was an issue loading your settings.\nThey have been reset to the default settings.
SETTINGS_USER_WRITE_ERROR,There was an issue saving your settings.\nTry restarting the game or adding exclusions to your Anti-Virus settings.
SETTINGS_MENU_REQUIRE_RESTART,Some settings require the game to be restarted to apply.
VENTS_SAFE,Vents: Safe
VENTS_UNSAFE,Vents: Unsafe
VENTS_WARN,Vents: Warning
VSYNC_DISABLED,Disabled
VSYNC_ENABLED,Enabled
VSYNC_ADAPTIVE,Adaptive
VSYNC_MAILBOX,Mailbox
SETTINGS_MENU_SCALING_MODE,Scaling Mode
SETTINGS_MENU_FSR_TYPE,FSR Quality
SCALING_MODE_DEFAULT,Standard
SCALING_MODE_FSR1,AMD FSR1
SCALING_MODE_FSR2,AMD FSR2
FSR_SCALE_ULTRA,Ultra Quality
FSR_SCALE_QUALITY,Quality
FSR_SCALE_BALANCED,Balanced
FSR_SCALE_PERFORMANCE,Performance
SETTINGS_MENU_FSR_SHARPNESS,FSR Sharpness
SETTINGS_MENU_TEXTURE_LIMIT,Texture Size Limit
CAMERA_OFFLINE,OFFLINE
CAMERA_NO_VIDEO,NO VIDEO FEED
MAIN_MENU_GRAPHICS,GRAPHICS
SETTINGS_MENU_OPEN_EDITOR,OPEN MAP EDITOR
SETTINGS_MENU_OPEN_WORKSHOP_EDITOR,OPEN WORKSHOP UPLOADER
MAIN_MENU_SERVER_SETTING_NAME,Lobby Name
MAIN_MENU_SERVER_SETTING_MAP,Map
SETTINGS_MENU_MIC_VOLUME,Microphone Volume (DB)
MAIN_MENU_SERVER_SETTING_PUBLIC_LOBBY,Public Lobby
SETTINGS_MENU_LANGUAGE,Language
PLAYER_FORWARD,Move Forward
PLAYER_BACKWARD,Move Back
PLAYER_LEFT,Move Left
PLAYER_RIGHT,Move Right
PLAYER_JUMP,Jump
PLAYER_SPRINT,Sprint
PLAYER_SNEAK,Sneak
PLAYER_USE,Use
PLAYER_RELOAD,Reload Weapon
PLAYER_THROW,Throw Held Item
PLAYER_INVENTORY,Inventory
PLAYER_VOICE_CHAT,Primary Voice Chat
PLAYER_VOICE_CHAT_ALT,Secondary Voice Chat
PLAYER_LIST,Player List
PLAYER_PRIMARY,Primary Fire
PLAYER_SECONDARY,Secondary Fire
PLAYER_SPRAY,Spray Decal
ADMIN_NOCLIP,No Clip
MENU_PAUSE,Pause Menu
DEBUG_PLAYER_HIDE_UI,Hide UI (Debug)
ADMIN_MENU,Server Admin Menu
DEATH_MSG_TEXT,Cause of death: {3}\nYou will respawn soon.
DEATH_MSG_UNKNOWN,Cause of death is unknown. Possible interaction with unknown anomaly.\nBe cautious when moving the body
DEATH_MSG_CRUSHED,Subject was crushed to death.
DEATH_MSG_SCP173,Cause of death: Fatal cervical fracture.
DEATH_MSG_SCP106,The Subject's body was found decayed heavily.\nLikely found by SCP-106. Use caution and proper hazard procedures when moving the body.
DEATH_MSG_GUNLIGHT,"The Subject's body was found with mutiple handgun bullet wounds,\n during post-breach cleanup."
DEATH_MSG_GUNHEAVY,"The Subject's body was found with mutiple intermiediate bullet wounds,\n during post-breach cleanup."
DEATH_MSG_GAS,
DEATH_MSG_NUKE,Subject not accounted for. Likely died in the nuclear explosion.
DEATH_MSG_SCP457,
DEATH_MSG_FIRE,
DEATH_MSG_SCP207,"The Subject was recovered with signs of rapid deterioration.\n This is evident of SCP-207 usage, but no bottle was found."
DEATH_MSG_SCP049_2,"The Subject was found bruised, cause of death was directly linked to blunt force truama."
DEATH_MSG_SCP008,
DEATH_MSG_FALL,The Subject was found with mutiple fractures in the legs as well as blunt truama to the head.
DEATH_MSG_ELECTRICSHOCK,The Subject was found churned underneath a Tesla Gate.\nIt has been noted that Tesla's killed more humanoid personnel than rouge anomalies during the breach.
DEATH_MSG_SCP049,The Subject was found with a burn mark in the shape of a hand and no other truama.\n This is consistent with other victims of SCP-049.
DEATH_MSG_GENERIC,Generic
HINT_INVENTORY_FULL,Your inventory is full.
HINT_INVENTORY_CANT_USE,You cannot use this item.
HINT_INVENTORY_TYPE_LIMIT_REACHED,You are carrying too many of this kind of item.
INVENTORY_ONE,Inventory Slot 1
INVENTORY_TWO,Inventory Slot 2
